Designator;Footprint;Quantity;Value;LCSC Part #
C101, C102;0805;2;22µF, 25V;C45783
C103, C104;1206;2;10µF, 50V;C13585
C105, C106, C107, C108, C117;0402;5;100nF;C307331
C109, C112;0402;2;47pF;C1567
C110;0402;1;10pF;C32949
C111;0603;1;30pF;C1658
C113, C114, C115, C116;1206;4;22µF, 25V;C12891
D101, D102, D103, D104;DIOM7959X265N;4;SS34;C8678
L103, L104;L_Bourns_SRP7028A_7.3x6.6mm;2;33µH;C177245
R101, R102, R105, R106;0402;4;100k;C25741
R103;0402;1;22k;C25768
R104;0603;1;13k;C22797
R107;0402;1;20k;C25765
U101, U102;SOT-23-6;2;TPS54202DDC;C191884
U105;MH253;1;MH253;C114369